,Product Links
12,https://www.flipkart.com/poco-c31-royal-blue-64-gb/p/itm19effae969b86?pid=MOBG73E7GKQK4KZP&lid=LSTMOBG73E7GKQK4KZPR5ICMK&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=dd199dd6-2d38-478d-a0f0-0967d6fefe8f.MOBG73E7GKQK4KZP.SEARCH&ppt=None&ppn=None&ssid=37nbf53i1s0000001675330798698&qH=532c28d5412dd75b
13,https://www.flipkart.com/vivo-t1-44w-midnight-galaxy-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVXFVCGS23&lid=LSTMOBGDRHVXFVCGS23BNMEFR&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=dd199dd6-2d38-478d-a0f0-0967d6fefe8f.MOBGDRHVXFVCGS23.SEARCH&ppt=None&ppn=None&ssid=37nbf53i1s0000001675330798698&qH=532c28d5412dd75b
14,https://www.flipkart.com/redmi-9i-sport-metallic-blue-64-gb/p/itmeb95d0b4616cc?pid=MOBG6WQWQZZMGQCU&lid=LSTMOBG6WQWQZZMGQCUD4GKAH&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=dd199dd6-2d38-478d-a0f0-0967d6fefe8f.MOBG6WQWQZZMGQCU.SEARCH&ppt=None&ppn=None&ssid=37nbf53i1s0000001675330798698&qH=532c28d5412dd75b
15,https://www.flipkart.com/motorola-g32-mineral-gray-64-gb/p/itmdcfa4c4022714?pid=MOBGEA3CZ8Z7HWCY&lid=LSTMOBGEA3CZ8Z7HWCYPHBSGA&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=dd199dd6-2d38-478d-a0f0-0967d6fefe8f.MOBGEA3CZ8Z7HWCY.SEARCH&ppt=None&ppn=None&ssid=37nbf53i1s0000001675330798698&qH=532c28d5412dd75b
16,https://www.flipkart.com/realme-c30-lake-blue-32-gb/p/itmfcf69b2db5059?pid=MOBGF37GTRVMRJVK&lid=LSTMOBGF37GTRVMRJVKRYAJNG&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=dd199dd6-2d38-478d-a0f0-0967d6fefe8f.MOBGF37GTRVMRJVK.SEARCH&ppt=None&ppn=None&ssid=37nbf53i1s0000001675330798698&qH=532c28d5412dd75b
17,https://www.flipkart.com/apple-iphone-14-blue-128-gb/p/itmdb77f40da6b6d?pid=MOBGHWFHSV7GUFWA&lid=LSTMOBGHWFHSV7GUFWA3AV8J8&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=dd199dd6-2d38-478d-a0f0-0967d6fefe8f.MOBGHWFHSV7GUFWA.SEARCH&ppt=None&ppn=None&ssid=37nbf53i1s0000001675330798698&qH=532c28d5412dd75b
18,https://www.flipkart.com/apple-iphone-14-starlight-128-gb/p/itm3485a56f6e676?pid=MOBGHWFHABH3G73H&lid=LSTMOBGHWFHABH3G73HRLIX56&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=dd199dd6-2d38-478d-a0f0-0967d6fefe8f.MOBGHWFHABH3G73H.SEARCH&ppt=None&ppn=None&ssid=37nbf53i1s0000001675330798698&qH=532c28d5412dd75b
19,https://www.flipkart.com/apple-iphone-14-midnight-128-gb/p/itm9e6293c322a84?pid=MOBGHWFHECFVMDCX&lid=LSTMOBGHWFHECFVMDCXBOYSND&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=dd199dd6-2d38-478d-a0f0-0967d6fefe8f.MOBGHWFHECFVMDCX.SEARCH&ppt=None&ppn=None&ssid=37nbf53i1s0000001675330798698&qH=532c28d5412dd75b
20,https://www.flipkart.com/poco-m4-pro-cool-blue-128-gb/p/itm98e13f0c82b82?pid=MOBGBTHFBKGG6AVB&lid=LSTMOBGBTHFBKGG6AVBZXCSFJ&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=dd199dd6-2d38-478d-a0f0-0967d6fefe8f.MOBGBTHFBKGG6AVB.SEARCH&ppt=None&ppn=None&ssid=37nbf53i1s0000001675330798698&qH=532c28d5412dd75b
21,https://www.flipkart.com/motorola-g42-atlantic-green-64-gb/p/itmcd4986b7d00b5?pid=MOBGBUPWDZHQYXNB&lid=LSTMOBGBUPWDZHQYXNB41TBQE&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=dd199dd6-2d38-478d-a0f0-0967d6fefe8f.MOBGBUPWDZHQYXNB.SEARCH&ppt=None&ppn=None&ssid=37nbf53i1s0000001675330798698&qH=532c28d5412dd75b
